Unnamed: 0.1,Unnamed: 0,Name,Club,Nationality,Position,Age,Matches,Starts,Mins,Goals,Assists,Passes_Attempted,Perc_Passes_Completed,Penalty_Goals,Penalty_Attempted,xG,xA,Yellow_Cards,Red_Cards,Goals_per_90,Assists_per_90,xG_Efficiency
-0.55,-0.57,Gareth Bale,Tottenham Hotspur,WAL,FW,1.37,-0.19,-0.68,-0.68,2.43,0.18,-0.66,-1.3,-0.25,-0.27,2.48,1.26,-0.65,-0.33,5.81,1.08,0.25
-0.54,-0.56,Harry Winks,Tottenham Hotspur,ENG,MF,-0.38,-0.67,-0.77,-0.74,-0.64,-0.71,-0.26,0.66,-0.25,-0.27,-0.86,-0.66,1.07,-0.33,-0.74,-0.77,-0.84
-0.53,-0.55,Dele Alli,Tottenham Hotspur,ENG,MF,-0.38,-0.67,-0.96,-1.0,-0.64,-0.26,-0.77,0.11,-0.25,-0.27,0.39,0.54,-1.08,-0.33,-0.74,0.62,-0.84
-0.52,-0.54,Japhet Tanganga,Tottenham Hotspur,ENG,DF,-1.13,-1.54,-1.05,-1.14,-0.64,-0.71,-0.94,0.67,-0.25,-0.27,-0.66,-1.02,-0.22,-0.33,-0.74,-0.77,-0.84
-0.51,-0.54,Érik Lamela,Tottenham Hotspur,ARG,"FW,MF",0.62,0.1,-1.14,-0.9,-0.36,-0.71,-0.72,-0.11,-0.25,-0.27,0.26,0.42,1.5,2.85,0.05,-0.77,-0.55
-0.51,-0.53,Carlos Vinícius,Tottenham Hotspur,BRA,FW,-0.13,-1.25,-1.32,-1.33,-0.36,-0.71,-1.23,-3.01,-0.25,-0.27,1.7,-0.66,-0.22,-0.33,1.02,-0.77,-0.71
-0.5,-0.51,Bukayo Saka,Arsenal,ENG,"FW,DF",-1.88,0.98,1.14,1.04,0.75,0.63,0.53,-0.59,-0.25,-0.27,0.65,1.02,-0.65,-0.33,0.35,0.25,0.23
-0.49,-0.5,Granit Xhaka,Arsenal,SUI,"MF,DF",0.37,0.88,1.05,1.0,-0.36,0.18,2.13,1.42,-0.25,-0.27,-0.73,-0.3,1.93,2.85,-0.5,-0.12,0.87
-0.48,-0.5,Rob Holding,Arsenal,ENG,DF,-0.38,0.78,0.96,1.04,-0.64,-0.26,1.5,1.34,-0.25,-0.27,-0.66,-0.9,-0.22,-0.33,-0.74,-0.4,-0.84
-0.47,-0.49,Pierre-Emerick Aubameyang,Arsenal,GAB,FW,1.37,0.69,0.78,0.8,2.15,0.63,-0.21,-0.57,1.87,1.58,1.76,0.3,-0.22,-0.33,1.62,0.34,0.41
-0.47,-0.48,Kieran Tierney,Arsenal,SCO,DF,-0.63,0.49,0.78,0.77,-0.36,0.63,1.06,-0.41,-0.25,-0.27,-0.79,0.9,0.64,-0.33,-0.5,0.34,1.73
-0.46,-0.48,Héctor Bellerín,Arsenal,ESP,DF,-0.13,0.3,0.6,0.55,-0.36,0.18,0.76,0.48,-0.25,-0.27,-0.66,0.18,2.36,-0.33,-0.5,0.06,0.44
-0.45,-0.47,Gabriel Dos Santos,Arsenal,BRA,DF,-0.88,0.1,0.41,0.45,-0.08,-0.71,1.06,0.9,-0.25,-0.27,-0.59,-1.02,0.64,2.85,-0.19,-0.77,1.21
-0.44,-0.47,Alexandre Lacazette,Arsenal,FRA,FW,0.87,0.88,0.41,0.37,2.99,0.18,-0.47,-0.15,2.93,2.51,2.09,0.54,0.21,-0.33,2.96,0.06,0.61
-0.43,-0.46,Thomas Partey,Arsenal,GHA,MF,0.37,0.2,0.05,-0.04,-0.64,0.18,0.46,1.02,-0.25,-0.27,-0.4,-0.3,1.07,-0.33,-0.74,0.34,-0.84
-0.42,-0.45,Emile Smith-Rowe,Arsenal,ENG,"MF,FW",-1.38,-0.19,0.05,-0.13,-0.08,1.08,-0.15,1.13,-0.25,-0.27,-0.07,1.14,-1.08,-0.33,-0.01,1.55,-0.05
-0.42,-0.45,Dani Ceballos,Arsenal,ESP,MF,-0.63,0.3,-0.04,0.05,-0.64,0.63,0.74,0.97,-0.25,-0.27,-0.66,0.9,0.64,-0.33,-0.74,0.8,-0.84
-0.41,-0.44,Mohamed Elneny,Arsenal,EGY,MF,0.62,0.1,-0.04,-0.03,-0.36,-0.71,0.29,1.89,-0.25,-0.27,-0.73,-0.9,0.21,-0.33,-0.38,-0.77,0.87
-0.4,-0.43,David Luiz,Arsenal,BRA,DF,1.88,-0.19,-0.04,-0.18,-0.36,-0.71,0.23,0.58,-0.25,-0.27,-0.53,-0.66,-0.65,2.85,-0.38,-0.77,0.02
-0.39,-0.43,Nicolas Pépé,Arsenal,CIV,FW,-0.13,0.69,-0.13,0.05,2.15,-0.26,-0.23,-0.48,0.81,0.66,1.63,-0.42,-0.65,2.85,2.66,-0.22,0.48
-0.38,-0.42,Willian,Arsenal,BRA,"FW,MF",1.37,0.3,-0.13,-0.17,-0.36,1.53,-0.05,0.0,-0.25,-0.27,-0.07,0.9,-1.08,-0.33,-0.38,2.2,-0.44
-0.38,-0.41,Martin Ødegaard,Arsenal,NOR,MF,-1.13,-0.77,-0.77,-0.74,-0.36,0.18,-0.48,0.95,-0.25,-0.27,-0.2,1.62,-1.08,-0.33,-0.13,1.18,-0.37
-0.37,-0.4,Calum Chambers,Arsenal,ENG,DF,-0.13,-1.15,-0.86,-0.86,-0.64,0.18,-0.39,0.14,-0.25,-0.27,-0.46,0.66,-1.08,-0.33,-0.74,1.45,-0.84
-0.36,-0.39,Cédric Soares,Arsenal,POR,DF,0.62,-1.15,-0.86,-0.87,-0.64,-0.26,-0.57,-0.47,-0.25,-0.27,-0.73,0.3,-0.65,-0.33,-0.74,0.34,-0.84
-0.35,-0.39,Martinelli,Arsenal,BRA,FW,-1.63,-0.77,-0.96,-1.03,-0.08,-0.26,-1.05,-0.01,-0.25,-0.27,2.55,2.82,-1.08,-0.33,1.14,0.62,-0.65
-0.34,-0.38,Ainsley Maitland-Niles,Arsenal,ENG,DF,-0.88,-1.06,-1.14,-1.13,-0.64,-0.71,-0.85,-0.11,-0.25,-0.27,-0.79,-0.54,-1.08,-0.33,-0.74,-0.77,-0.84
-0.34,-0.37,Eddie Nketiah,Arsenal,ENG,FW,-1.13,-0.48,-1.23,-1.21,-0.08,-0.26,-1.16,0.36,-0.25,-0.27,2.48,1.14,-1.08,-0.33,1.87,1.18,-0.64
-0.33,-0.36,Joe Willock,Arsenal,ENG,MF,-1.38,-1.45,-1.41,-1.4,-0.64,-0.71,-1.16,-0.47,-0.25,-0.27,0.19,-0.78,-0.65,-0.33,-0.74,-0.77,-0.84
-0.32,-0.35,Reiss Nelson,Arsenal,ENG,FW,-1.38,-1.93,-1.6,-1.58,-0.64,-0.71,-1.26,-3.02,-0.25,-0.27,-0.53,-1.02,-1.08,-0.33,-0.74,-0.77,-0.84
-0.31,-0.33,Stuart Dallas,Leeds United,NIR,"DF,MF",0.87,1.56,1.87,1.94,1.59,0.18,2.21,0.36,-0.25,-0.27,-0.14,-0.42,1.93,-0.33,0.53,-0.31,2.58
-0.3,-0.32,Luke Ayling,Leeds United,ENG,DF,0.62,1.56,1.87,1.93,-0.64,-0.71,2.92,0.0,-0.25,-0.27,-0.66,-0.18,1.93,-0.33,-0.74,-0.77,-0.84
-0.3,-0.32,Patrick Bamford,Leeds United,ENG,FW,0.12,1.56,1.78,1.56,4.11,2.43,-0.5,-0.4,1.87,1.58,2.42,0.42,0.21,-0.33,2.29,1.18,0.87
-0.29,-0.3,Jack Harrison,Leeds United,ENG,MF,-0.63,1.36,1.51,1.35,1.59,2.88,0.54,-1.54,-0.25,-0.27,0.45,1.62,-0.22,-0.33,0.78,1.55,1.11
-0.28,-0.3,Ezgjan Alioski,Leeds United,MKD,DF,0.62,1.36,1.05,0.94,-0.08,0.63,1.28,0.11,-0.25,-0.27,-0.59,0.3,1.93,-0.33,-0.31,0.25,1.21
-0.27,-0.29,Kalvin Phillips,Leeds United,ENG,MF,-0.38,0.69,0.96,0.91,-0.36,0.18,1.02,0.47,-0.25,-0.27,-0.86,0.66,3.22,-0.33,-0.5,-0.12,4.29
-0.26,-0.28,Mateusz Klich,Leeds United,POL,MF,1.12,1.27,0.96,0.87,0.47,1.53,1.07,0.0,1.87,1.58,-0.07,0.78,1.5,-0.33,0.17,0.99,0.74
-0.25,-0.28,Raphael Dias Belloli,Leeds United,BRA,MF,-0.63,0.78,0.78,0.83,1.03,3.32,0.37,-1.69,-0.25,-0.27,0.58,2.7,0.21,-0.33,0.66,2.38,0.5
-0.25,-0.27,Liam Cooper,Leeds United,SCO,DF,0.62,0.3,0.69,0.65,-0.36,-0.71,1.16,1.13,-0.25,-0.27,-0.59,-1.02,0.64,2.85,-0.5,-0.77,0.19
-0.24,-0.26,Pascal Struijk,Leeds United,NED,"DF,MF",-1.38,0.49,0.41,0.53,-0.36,-0.71,0.69,1.05,-0.25,-0.27,-0.27,-0.9,0.21,-0.33,-0.5,-0.77,-0.33
-0.23,-0.26,Tyler Roberts,Leeds United,WAL,"MF,FW",-1.13,0.49,-0.32,-0.24,-0.36,0.18,-0.56,-0.95,-0.25,-0.27,-0.01,0.42,0.21,-0.33,-0.31,0.43,-0.47
